Player,Dominance Quotient,Avg Score,Goals Per Game,Assists Per Game,Saves Per Game,Shots Per Game,Shooting %,Demos Inf. Per Game,Demos Taken Per Game,Big Boost Stolen,Small Boost Stolen
jeridinho.,97.0,527.6521739130435,1.173913043478261,0.6956521739130435,2.1739130434782608,4.130434782608695,0.34177216,0.6956521739130435,0.9130434782608695,342.4347826086956,210.08695652173913
desi,62.500000000000014,473.95456,0.8181818,0.77272725,2.0,2.909091,0.28125,1.3636364,0.90909094,405.63635,233.04546
Bax,52.5,426.08334,1.0,0.5,1.6666666,3.5416667,0.28235294,1.1666666,1.25,362.75,196.5
Ray,40.99999999999999,357.26086,0.7826087,0.95652175,1.3043479,2.9130435,0.26865673,1.8695652,1.173913,259.08694,204.43478
Supe,21.000000000000004,369.08334,0.9166667,0.6666667,1.4166666,2.4583333,0.3728814,0.5416667,0.9166667,207.75,163.29167
Duri,19.499999999999996,381.27274,0.8636364,0.4090909,1.3636364,2.6363637,0.3275862,1.5909091,1.0454545,339.36365,249.54546
Paperclip94,18.5,411.20834,0.875,0.33333334,1.7083334,3.0416667,0.28767122,0.875,0.8333333,214.79167,210.91667
nyk,18.499999999999996,422.08694,0.5652174,0.5217391,2.0869565,2.826087,0.19999998000000002,1.0,1.0,332.69565,137.73914
Kyzeke,9.499999999999998,342.27274,0.8636364,0.45454547,0.95454544,3.0454545,0.2835821,1.2727273,1.2272727,323.81818,227.13637
.Xero,-1.9999999999999991,345.66666,0.8333333,0.29166666,1.25,3.0416667,0.27397258999999996,0.8333333,0.875,355.25,162.04167
Elhon,-9.5,297.66666,0.75,0.5,1.2916666,2.2083333,0.33962265,0.625,1.1666666,201.75,191.70833
malarkey,-10.5,310.56522,0.7826087,0.5217391,1.2173913,2.6956522,0.29032259,0.39130434,0.65217394,149.86957,227.91304
buckystyle,-11.0,321.66666,0.41666666,0.75,1.4166666,2.25,0.18518516999999998,1.2083334,0.75,316.45834,205.75
beckham1717,-20.999999999999996,294.0,0.625,0.5833333,1.0,1.7916666,0.34883719999999996,0.625,1.25,242.91667,207.25
Turtle,-23.5,311.04544,0.59090906,0.4090909,1.2727273,2.3181818,0.25490196,1.2272727,0.6363636,283.27274,190.5
Pullis.,-33.50000000000001,292.91666,0.5833333,0.41666666,1.2916666,2.125,0.2745098,0.5416667,0.625,216.25,206.375
Veavo,-35.5,302.18182,0.36363637,0.59090906,1.4090909,2.0454545,0.17777779,0.45454547,0.90909094,143.31818,185.27272
bacon,-43.00000000000001,275.75,0.25,0.625,1.2916666,1.875,0.13333333,1.0416666,0.9583333,216.83333,198.91667
Distill?,-44.50000000000001,254.13637,0.77272725,0.27272728,0.6818182,2.2272727,0.3469388,0.5,0.6818182,277.72726,172.04546
Ankles,-45.99999999999999,260.3913,0.5217391,0.3478261,1.0869565,1.9565217,0.26666666,1.2173913,0.5652174,290.34784,195.0
Sym,-58.50000000000001,249.60869,0.5217391,0.26086956,1.3043479,1.2608696,0.41379307,0.4347826,1.0869565,122.13043,138.04347
